Time Taken, Video Length, File Size (MB), Method,
0, 5.4, 88.2, Software Multithread 30,
4, 9.9, 163.2, Software Multithread 30,
24, 13.73, 225.4, Software Multithread 30,
31, 18.6, 303.1, Software Multithread 30,
41, 23.1, 378.2, Software Multithread 30,
53, 26.93, 440.4, Software Multithread 30,
78, 31.783, 518, Software Multithread 30,
91, 36.283, 593.3, Software Multithread 30,
126, 40.1167, 655.2, Software Multithread 30,
142, 44.983, 732.8, Software Multithread 30,
160, 49.483, 808.1, Software Multithread 30,
177, 49.483, 807.4, Software Multithread 30,
0, 5.4, 88.2, Hardware low bitrate,
1, 9.9, 163.2, Hardware low bitrate,
2, 13.73, 225.4, Hardware low bitrate,
3, 18.6, 303.1, Hardware low bitrate,
4, 23.1, 378.2, Hardware low bitrate,
6, 26.93, 440.4, Hardware low bitrate,
8, 31.783, 518, Hardware low bitrate,
10, 36.283, 593.3, Hardware low bitrate,
13, 40.1167, 655.2, Hardware low bitrate,
16, 44.983, 732.8, Hardware low bitrate,
19, 49.483, 808.1, Hardware low bitrate,
22, 49.483, 807.4, Hardware low bitrate,
0, 5.4, 1.2, Software Multithread default (15),
2, 9.9, 104.5, Software Multithread default (15),
8, 13.73, 143.8, Software Multithread default (15),
15, 18.6, 191, Software Multithread default (15),
25, 23.1, 238.3, Software Multithread default (15),
36, 26.93, 276.2, Software Multithread default (15),
48, 31.783, 322.1, Software Multithread default (15),
63, 36.283, 368.3, Software Multithread default (15),
79, 40.1167, 405.2, Software Multithread default (15),
96, 44.983, 450.3, Software Multithread default (15),
116, 49.483, 495.7, Software Multithread default (15),
136, 49.483, 490.8, Software Multithread default (15),
0, 5.4, 245.8, Hardware high bitrate,
1, 9.9, 457.5,  Hardware high bitrate,
1, 13.73, 634.3,  Hardware high bitrate,
3, 18.6, 856.1,  Hardware high bitrate,
4, 23.1, 1070,  Hardware high bitrate,
6, 26.93, 1240,  Hardware high bitrate,
8, 31.783, 1470,  Hardware high bitrate,
10, 36.283, 1680,  Hardware high bitrate,
13, 40.1167, 1860,  Hardware high bitrate,
16, 44.983, 2080,  Hardware high bitrate,
19, 49.483, 2290,  Hardware high bitrate,
22, 49.483, 2290,  Hardware high bitrate,
0, 5.4, 55.4, Software Multithread 16,
4, 9.9, 104.5, Software Multithread 16,
9, 13.73, 143.8, Software Multithread 16,
17, 18.6, 191, Software Multithread 16,
26, 23.1, 238.3, Software Multithread 16,
37, 26.93, 276.2, Software Multithread 16,
49, 31.783, 322.1, Software Multithread 16,
64, 36.283, 368.3, Software Multithread 16,
80, 40.1167, 405.2, Software Multithread 16,
103, 44.983, 450.3, Software Multithread 16,
123, 49.483, 495.7, Software Multithread 16,
143, 49.483, 490.8, Software Multithread 16,
1, 5.4, 245.8, Hardware then Software,
1, 9.9, 457.5, Hardware then Software,
2, 13.73, 634.3, Hardware then Software,
4, 18.6, 856.1, Hardware then Software,
5, 23.1, 1070, Hardware then Software,
7, 26.93, 1240, Hardware then Software,
9, 31.783, 1470, Hardware then Software,
11, 36.283, 1680, Hardware then Software,
14, 40.1167, 1860, Hardware then Software,
17, 44.983, 2080, Hardware then Software,
20, 49.483, 2290, Hardware then Software,
23, 49.483, 2290, Hardware then Software,
49, 49.483, 597.8, Hardware then Software,